SymbolIndex,SampleIndexAfterDelayRemoval,SampleTime_s,SampledVoltage_V,InstantFastCode_dec,InstantFastVout_V,VectorFastCode_dec,VectorFastVout_V
140,17991,2.509745546875e-09,-0.254185841496125,9,-0.2578125,9,-0.2578125
141,18119,2.527602546875e-09,-0.215683845154649,17,-0.2203125,17,-0.2203125
142,18247,2.545459546875e-09,-0.066462169377186,49,-0.0703125,49,-0.0703125
143,18375,2.563316546875e-09,0.0716325388100644,79,0.0703125,79,0.0703125
144,18503,2.581173546875e-09,-0.0722797343189664,48,-0.075,48,-0.075
145,18631,2.599030546875e-09,0.231290072794148,113,0.2296875,113,0.2296875
146,18759,2.616887546875e-09,0.078152301635214,80,0.075,80,0.075
147,18887,2.634744546875e-09,0.242888304375009,115,0.2390625,115,0.2390625
148,19015,2.652601546875e-09,0.213477466963871,109,0.2109375,109,0.2109375
149,19143,2.670458546875e-09,-0.240531346759237,12,-0.24375,12,-0.24375
150,19271,2.688315546875e-09,0.25376683584275,118,0.253125,118,0.253125
151,19399,2.706172546875e-09,-0.11767090184794,38,-0.121875,38,-0.121875
152,19527,2.724029546875e-09,0.0882788631295663,82,0.084375,82,0.084375
153,19655,2.741886546875e-09,-0.241662775251349,12,-0.24375,12,-0.24375
154,19783,2.759743546875e-09,-0.0673474546271259,49,-0.0703125,49,-0.0703125
155,19911,2.777600546875e-09,0.237837649713989,114,0.234375,114,0.234375
156,20039,2.795457546875e-09,-0.254644419175034,9,-0.2578125,9,-0.2578125
157,20167,2.813314546875e-09,-0.0502723173366259,53,-0.0515625,53,-0.0515625
158,20295,2.831171546875e-09,0.244101429665897,116,0.24375,116,0.24375
159,20423,2.849028546875e-09,-0.248453676348688,10,-0.253125,10,-0.253125
160,20551,2.866885546875e-09,-0.0781936940773734,47,-0.0796875,47,-0.0796875
161,20679,2.884742546875e-09,-0.075734573447724,47,-0.0796875,47,-0.0796875
162,20807,2.902599546875e-09,-0.0614672269991743,50,-0.065625,50,-0.065625
163,20935,2.920456546875e-09,0.227312688486053,112,0.225,112,0.225
164,21063,2.938313546875e-09,0.237719547890697,114,0.234375,114,0.234375
165,21191,2.956170546875e-09,-0.0892486793151004,44,-0.09375,44,-0.09375
166,21319,2.974027546875e-09,0.0920709500300265,83,0.0890625,83,0.0890625
167,21447,2.991884546875e-09,0.216660611561392,110,0.215625,110,0.215625
168,21575,3.009741546875e-09,-0.0646494540420273,50,-0.065625,50,-0.065625
169,21703,3.027598546875e-09,0.0505712457313208,74,0.046875,74,0.046875
170,21831,3.045455546875e-09,-0.0664590720404076,49,-0.0703125,49,-0.0703125
171,21959,3.063312546875e-09,-0.239912816084021,12,-0.24375,12,-0.24375
172,22087,3.081169546875e-09,0.0937260157791645,83,0.0890625,83,0.0890625
173,22215,3.099026546875e-09,0.0657840712849684,78,0.065625,78,0.065625
174,22343,3.116883546875e-09,0.0789844842250245,80,0.075,80,0.075
175,22471,3.134740546875e-09,-0.066555450726175,49,-0.0703125,49,-0.0703125
176,22599,3.152597546875e-09,0.0831339893115129,81,0.0796875,81,0.0796875
177,22727,3.170454546875e-09,0.22514445548889,112,0.225,112,0.225
178,22855,3.188311546875e-09,-0.0935071092018381,44,-0.09375,44,-0.09375
179,22983,3.206168546875e-09,-0.21426092912951,18,-0.215625,18,-0.215625
180,23111,3.224025546875e-09,0.0788700783590776,80,0.075,80,0.075
181,23239,3.241882546875e-09,0.221848262125697,111,0.2203125,111,0.2203125
182,23367,3.259739546875e-09,0.0618048512722845,77,0.0609375,77,0.0609375
183,23495,3.277596546875e-09,-0.21872542376066,17,-0.2203125,17,-0.2203125
184,23623,3.295453546875e-09,0.228325308964466,112,0.225,112,0.225
185,23751,3.313310546875e-09,-0.233778964940356,14,-0.234375,14,-0.234375
186,23879,3.331167546875e-09,0.0803240039833576,81,0.0796875,81,0.0796875
187,24007,3.349024546875e-09,0.242217536608465,115,0.2390625,115,0.2390625
188,24135,3.366881546875e-09,0.226157186813613,112,0.225,112,0.225
189,24263,3.384738546875e-09,0.244950563231013,116,0.24375,116,0.24375
190,24391,3.402595546875e-09,0.214057127342118,109,0.2109375,109,0.2109375
191,24519,3.420452546875e-09,-0.221308122702289,16,-0.225,16,-0.225
